taxa,k_out,n_trees,size1,size2,prod,mut_size,visited_triplets,skipped_due_to_visited,potential_children_generated,pcsp_generated,childs_child_clades
ABCDEFGHIJ,1,1,8,8,64,13,11,0,74,13,10
ABCDEFGHIJ,2,1,7,7,49,53,37,0,168,63,36
ABCDEFGHIJ,3,1,6,6,36,25,19,2,90,29,20
ABCDEFGHIJ,4,1,5,5,25,265,153,102,580,318,254
ABCDEFGHIJ,5,1,4,4,16,745,341,534,1350,877,874
ABCDEFGHIJ,1,4,29,29,841,55,44,5,362,55,48
ABCDEFGHIJ,2,4,23,22,506,125,103,32,666,179,134
ABCDEFGHIJ,3,4,21,18,378,366,209,220,960,481,428
ABCDEFGHIJ,4,4,17,10,170,345,208,185,924,447,392
ABCDEFGHIJ,5,4,11,7,77,2327,898,2549,4138,2925,3446
ABCDEFGHIJ,1,9,57,57,3249,85,69,6,616,89,74
ABCDEFGHIJ,2,9,42,42,1764,91,72,16,548,109,87
ABCDEFGHIJ,3,9,40,30,1200,461,280,310,1532,626,589
ABCDEFGHIJ,4,9,22,32,704,1134,655,1084,3428,1686,1738
ABCDEFGHIJ,5,9,21,11,231,5511,1989,6941,9850,7211,8929
ABCDEFGHIJ,1,16,84,84,7056,155,131,23,1302,167,153
ABCDEFGHIJ,2,16,79,66,5214,282,243,136,1864,455,378
ABCDEFGHIJ,3,16,48,45,2160,565,352,367,2164,762,718
ABCDEFGHIJ,4,16,43,32,1376,2025,1131,2351,6176,3133,3481
ABCDEFGHIJ,5,16,25,14,350,7220,2513,10125,13232,9911,12637
ABCDEFGHIJ,1,25,118,118,13924,205,172,47,1892,225,218
ABCDEFGHIJ,2,25,109,98,10682,334,283,174,2428,497,456
ABCDEFGHIJ,3,25,73,45,3285,813,525,735,3548,1235,1259
ABCDEFGHIJ,4,25,53,28,1484,2563,1289,3240,7090,3985,4528
ABCDEFGHIJ,5,25,30,14,420,8433,2885,12021,15422,11633,14905
ABCDEFGHIJ,1,36,155,155,24025,262,211,70,2520,286,280
ABCDEFGHIJ,2,36,124,91,11284,390,331,206,3042,606,536
ABCDEFGHIJ,3,36,94,64,6016,1103,792,1211,5634,1861,2002
ABCDEFGHIJ,4,36,52,38,1976,2742,1373,3433,7764,4187,4805
ABCDEFGHIJ,5,36,27,14,378,7854,2723,10945,14252,10675,13667
ABCDEFGHIJ,1,49,170,170,28900,291,236,78,2844,321,313
ABCDEFGHIJ,2,49,138,110,15180,459,393,262,3526,725,654
