taxa,k_out,n_trees,size1,size2,prod,time
ABCDEFGH,1,1,6,6,36,0.0014468910624998443
ABCDEFGH,1,4,24,24,576,0.004664891374999813
ABCDEFGH,1,9,51,49,2499,0.01250486887500002
ABCDEFGH,1,16,94,94,8836,0.030655739250000202
ABCDEFGH,1,25,138,138,19044,0.06684031412500002
ABCDEFGH,1,36,192,178,34176,0.11089280074999985
ABCDEFGH,1,49,254,240,60960,0.20999037981250002
ABCDEFGH,1,64,316,314,99224,0.34208942749999993
ABCDEFGH,1,81,386,380,146680,0.53550748425
ABCDEFGH,1,100,452,442,199784,0.6725411960625003
ABCDEFGH,2,1,5,5,25,0.0009327902500002594
ABCDEFGH,2,4,17,18,306,0.007583393437500696
ABCDEFGH,2,9,42,43,1806,0.025834161562499958
ABCDEFGH,2,16,70,67,4690,0.08062702612499972
ABCDEFGH,2,25,101,112,11312,0.20531107218749955
ABCDEFGH,2,36,142,142,20164,0.35575816425000006
ABCDEFGH,2,49,185,175,32375,0.6717586950000003
ABCDEFGH,2,64,218,213,46434,1.1803793662499995
ABCDEFGH,2,81,258,239,61662,1.5690213130000004
ABCDEFGH,2,100,293,303,88779,2.557697788124999
ABCDEFGH,3,1,4,4,16,0.015906251624999257
ABCDEFGH,3,4,16,16,256,0.04593598224999873
ABCDEFGH,3,9,32,30,960,0.17463359856249916
ABCDEFGH,3,16,49,49,2401,0.5255310475625006
ABCDEFGH,3,25,65,60,3900,0.9353146314374996
ABCDEFGH,3,36,79,91,7189,2.1603002101249995
ABCDEFGH,3,49,101,103,10403,3.467091956000001
ABCDEFGH,3,64,120,102,12240,4.597390264624998
ABCDEFGH,3,81,138,122,16836,7.226385583999999
ABCDEFGH,3,100,134,135,18090,7.950633559187498
ABCDEFGH,4,1,3,3,9,0.03529523250000466
ABCDEFGH,4,4,11,11,121,0.39223206299999447
ABCDEFGH,4,9,22,16,352,1.2560641350000026
ABCDEFGH,4,16,25,25,625,2.433219218875003
ABCDEFGH,4,25,28,27,756,3.064846982374995
ABCDEFGH,4,36,35,35,1225,5.380207888000001
ABCDEFGH,4,49,33,37,1221,5.369231223624993
ABCDEFGH,4,64,37,37,1369,5.857846895437497
ABCDEFGH,4,81,37,37,1369,5.858134706374997
ABCDEFGH,4,100,37,37,1369,5.935042659312501
ABCDEFGHI,1,1,7,7,49,0.0010492850000076714
ABCDEFGHI,1,4,28,28,784,0.005669280062491566
ABCDEFGHI,1,9,63,63,3969,0.01746740537500102
ABCDEFGHI,1,16,110,108,11880,0.03714464387499561
ABCDEFGHI,1,25,169,169,28561,0.08665622168750531
ABCDEFGHI,1,36,228,222,50616,0.15311768993750263
ABCDEFGHI,1,49,314,316,99224,0.2726577160000119
ABCDEFGHI,1,64,403,402,162006,0.4409946978124992
ABCDEFGHI,1,81,500,486,243000,0.6532474501249936
ABCDEFGHI,1,100,599,602,360598,1.083290360812498
ABCDEFGHI,2,1,6,6,36,0.0010099299375099235
