sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
B/ACDEKL,I/GHKL,3,True,True,True,True,True,True,False,False
ACDEKL/B,GIKL/J,1,True,True,False,False,True,True,True,True
CDEKL/AB,FGHIJKL/,1,True,False,False,False,True,True,True,True
CDEKL/AB,FIJ/H,1,True,True,False,False,True,True,True,False
DEL/ABCK,J/IK,1,True,True,True,True,True,True,True,False
BCDEK/AL,FHIJK/GL,1,True,True,True,True,True,True,True,True
AB/CDEKL,J/GIKL,3,True,True,True,True,True,True,False,False
DEL/ABCK,FGHL/IJK,1,True,True,True,True,True,True,True,True
DEKL/ABC,F/IJ,1,True,True,False,False,True,True,True,False
DEKL/ABC,GKL/I,1,True,True,False,False,True,True,True,True
BCDEKL/A,FGHIKL/J,1,True,True,False,False,True,True,True,True
ABC/DEKL,FH/GIJKL,3,True,True,True,True,True,True,False,False
A/BCDEKL,IJ/FGHKL,3,True,True,True,True,True,True,False,False
A/BCDEKL,J/FGHIKL,3,True,True,True,True,True,True,False,False
ABC/DEKL,FHJ/GIKL,3,True,True,True,True,True,True,False,False
ABCDEKL/,GKL/FH,1,False,True,False,False,True,True,True,True
DL/ABCEK,J/IK,1,True,True,True,True,True,True,True,False
CDEKL/AB,IJ/,1,True,False,False,False,True,True,True,False
ABC/DEKL,FJ/GHIKL,3,True,True,True,True,True,True,False,False
BCEK/ADL,FH/GL,1,True,True,True,True,True,True,True,False
ADL/BCEK,GL/IK,1,True,True,True,True,True,True,True,True
BCEK/ADL,K/GHL,1,True,True,True,True,True,False,True,True
B/ACDEKL,I/FGHKL,3,True,True,True,True,True,True,False,False
CDEKL/AB,GIKL/FHJ,1,True,True,False,False,True,True,True,True
L/ABCDEK,FIJ/K,1,True,False,True,True,False,True,True,False
ABC/DEKL,FH/GKL,3,True,True,True,True,True,True,False,False
/ABCDEKL,J/GIKL,1,True,True,True,True,False,True,False,False
ABCEK/DL,FH/GL,1,True,True,True,True,True,True,True,False
ABCDL/EK,IJ/K,1,True,False,True,True,True,True,True,False
ADL/BCEK,GL/IJK,1,True,True,True,True,True,True,True,True
CDEKL/AB,H/FJ,1,True,True,False,False,True,True,True,False
DEKL/ABC,FGHIKL/J,1,True,True,False,False,True,True,True,True
DEKL/ABC,GHKL/FIJ,1,True,True,False,False,True,True,True,True
ADL/BCEK,F/IJK,1,True,True,True,True,True,True,True,False
ACDEKL/B,GHKL/FIJ,1,True,True,False,False,True,True,True,True
DL/ABCEK,I/K,1,True,False,True,True,True,True,True,False
ACDEKL/B,GIKL/H,1,True,True,False,False,True,True,True,True
ABCEK/DL,IJK/FGHL,1,True,True,True,True,True,True,True,True
CDEKL/AB,FJ/,1,True,False,False,False,True,True,True,False
DEKL/ABC,J/,1,True,False,False,False,True,True,True,False
EK/ABCDL,IK/FGHJL,1,True,True,True,True,True,True,True,True
ABCDL/EK,F/IJK,1,True,True,True,True,True,True,True,False
B/ACDEKL,I/FGHJKL,3,True,True,True,True,True,True,False,False
BCDEK/AL,IK/FGHJL,1,True,True,True,True,True,True,True,True
