sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
BCDEL/AK,L/K,1,True,False,True,True,True,False,True,True
ACKL/BDE,I/GJ,1,True,True,False,False,True,True,True,False
ABCKL/DE,FHJ/,1,True,False,False,False,True,True,True,False
DE/ABCKL,I/FHKL,3,True,True,True,True,True,True,False,False
ABKL/CDE,FJ/,1,True,False,False,False,True,True,True,False
AB/CDEKL,FGIJ/HKL,3,True,True,True,True,True,True,False,False
ABCKL/DE,GI/FJ,1,True,True,False,False,True,True,True,False
CKL/ABDE,HIKL/G,1,True,True,False,False,True,True,True,True
CDKL/ABE,FHIJKL/G,1,True,True,False,False,True,True,True,True
ABDE/CKL,FJ/HIKL,3,True,True,True,True,True,True,False,False
C/ABDEKL,J/FHIKL,3,True,True,True,True,True,True,False,False
BDE/ACKL,FGIJ/HKL,3,True,True,True,True,True,True,False,False
AB/CDEKL,FH/KL,3,True,False,True,True,True,True,False,False
C/ABDEKL,FGIJ/HKL,3,True,True,True,True,True,True,False,False
CD/ABEKL,H/FGIJKL,3,True,True,True,True,True,True,False,False
CDE/ABKL,FJ/GHIKL,3,True,True,True,True,True,True,False,False
ABKL/CDE,J/,1,True,False,False,False,True,True,True,False
ABCKL/DE,FGHIKL/J,1,True,True,False,False,True,True,True,True
ACDKL/BE,F/H,1,True,True,False,False,True,True,True,False
C/ABDEKL,H/FGIJKL,3,True,True,True,True,True,True,False,False
E/ABCDKL,FGHJ/IKL,3,True,True,True,True,True,True,False,False
AKL/BCDE,KL/FHJ,1,True,True,False,False,True,False,True,True
CDKL/ABE,IKL/FH,1,True,True,False,False,True,True,True,True
KL/ABCDE,J/FH,1,True,True,False,False,False,True,True,False
ACKL/BDE,GJ/FH,1,True,True,False,False,True,True,True,False
ABKL/CDE,G/,1,True,False,False,False,True,True,True,False
CKL/ABDE,KL/,1,True,False,False,False,True,False,True,True
AKL/BCDE,FGIJKL/,1,True,False,False,False,True,True,True,True
CDE/ABKL,GI/KL,3,True,False,True,True,True,True,False,False
ABDE/CKL,I/KL,3,True,False,True,True,True,True,False,False
BDE/ACKL,H/KL,3,True,False,True,True,True,True,False,False
C/ABDEKL,FJ/GHIKL,3,True,True,True,True,True,True,False,False
C/ABDEKL,FHJ/KL,3,True,False,True,True,True,True,False,False
AB/CDEKL,FGJ/HKL,3,True,True,True,True,True,True,False,False
ABCDEKL/,FHKL/GIJ,1,False,True,False,False,True,True,True,True
ACKL/BDE,I/G,1,True,True,False,False,True,True,True,False
D/ABCEKL,FH/IKL,3,True,True,True,True,True,True,False,False
BDE/ACKL,FJ/GIKL,3,True,True,True,True,True,True,False,False
ABE/CDKL,GI/FHKL,3,True,True,True,True,True,True,False,False
BCDEKL/A,GIKL/FHJ,1,True,True,False,False,True,True,True,True
ABDEK/CL,FGHJK/IL,1,True,True,True,True,True,True,True,True
AKL/BCDE,I/G,1,True,True,False,False,True,True,True,False
